lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.01	1.3	0.005	300	200	64	0.05	0.9	0.0005	1.0	8078	68.26	2:46:00.232338	2:08:53.741219	67.96	0.8766
0.01	1.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	102944	67.53	2:44:54.576710	2:07:49.787484	67.34	1.3997
0.01	1.6	0.0001	300	200	64	0.05	0.9	0.0005	1.0	39816	67.94	2:46:37.749954	2:09:24.103982	67.55	0.9725
0.01	1.6	0.1	300	200	64	0.05	0.9	0.0005	1.0	68290	68.32	2:39:44.449060	2:03:34.681379	68.09	1.2383
0.01	1.6	0.001	300	200	64	0.05	0.9	0.0005	1.0	36354	68.09	2:43:22.970744	2:06:10.934116	67.82	0.9689
0.01	1.6	0.005	300	200	64	0.05	0.9	0.0005	1.0	29430	68.14	2:48:14.115595	2:10:45.554980	67.98	0.9782
0.01	1.6	0.5	300	200	64	0.05	0.9	0.0005	1.0	110529	66.43	2:40:19.841447	2:04:26.444446	66.07	1.5009
0.01	1.9	0.0001	300	200	64	0.05	0.9	0.0005	1.0	60931	68.06	2:46:32.529027	2:08:40.892094	67.48	1.0613
0.01	1.9	0.1	300	200	64	0.05	0.9	0.0005	1.0	90271	67.44	2:39:44.581154	2:03:56.066827	67.14	1.3443
0.01	1.9	0.01	300	200	64	0.05	0.9	0.0005	1.0	69264	68.03	2:38:50.709579	2:02:55.804219	67.59	1.1249
0.01	1.9	0.001	300	200	64	0.05	0.9	0.0005	1.0	65982	68.11	2:38:57.082383	2:03:05.445076	67.48	1.0836
0.01	1.9	0.005	300	200	64	0.05	0.9	0.0005	1.0	51197	68.34	2:46:54.882321	2:09:08.083993	68.08	1.0736
0.01	1.9	0.5	300	200	64	0.05	0.9	0.0005	1.0	135908	64.55	2:44:29.918725	2:07:16.084381	64.43	1.6104
0.01	1.9	0.5	300	200	64	0.05	0.9	0.0005	1.0	141057	64.71	2:37:16.447136	2:01:32.245923	63.85	1.6617
